#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_022605205.1/GCA_022605205.1_ASM2260520v1_genomic.fna	CP093265.1	888101	888520	+	fosA6_1	1-420/420	===============	0/0	100.00	99.76	resfinder	KU254579	fosA6	Fosfomycin
GCA_022605205.1/GCA_022605205.1_ASM2260520v1_genomic.fna	CP093265.1	2823112	2823972	-	blaSHV-106_1	1-861/861	===============	0/0	100.00	99.88	resfinder	AM922307	blaSHV-106	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
GCA_022605205.1/GCA_022605205.1_ASM2260520v1_genomic.fna	CP093265.1	3561960	3562835	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
GCA_022605205.1/GCA_022605205.1_ASM2260520v1_genomic.fna	CP093265.1	4559332	4560507	+	OqxA_1	1-1176/1176	===============	0/0	100.00	99.23	resfinder	EU370913	OqxA	Chloramphenicol;Ciprofloxacin;Nalidixic_acid;Trimethoprim
GCA_022605205.1/GCA_022605205.1_ASM2260520v1_genomic.fna	CP093265.1	4560531	4563683	+	OqxB_1	1-3153/3153	===============	0/0	100.00	98.86	resfinder	EU370913	OqxB	Chloramphenicol;Ciprofloxacin;Nalidixic_acid;Trimethoprim
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_023554675.1/GCA_023554675.1_ASM2355467v1_genomic.fna	JAMJTY010000003.1	401904	405056	-	OqxB_1	1-3153/3153	===============	0/0	100.00	98.73	resfinder	EU370913	OqxB	Chloramphenicol;Ciprofloxacin;Nalidixic_acid;Trimethoprim
GCA_023554675.1/GCA_023554675.1_ASM2355467v1_genomic.fna	JAMJTY010000003.1	405080	406255	-	OqxA_1	1-1176/1176	===============	0/0	100.00	99.41	resfinder	EU370913	OqxA	Chloramphenicol;Ciprofloxacin;Nalidixic_acid;Trimethoprim
GCA_023554675.1/GCA_023554675.1_ASM2355467v1_genomic.fna	JAMJTY010000004.1	78705	79565	-	blaSHV-28_1	1-861/861	===============	0/0	100.00	99.88	resfinder	AF299299	blaSHV-28	
GCA_023554675.1/GCA_023554675.1_ASM2355467v1_genomic.fna	JAMJTY010000005.1	14232	14651	+	fosA_5	1-420/420	===============	0/0	100.00	97.86	resfinder	AFBO01000747	fosA	Fosfomycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_023554755.1/GCA_023554755.1_ASM2355475v1_genomic.fna	JAMJUF010000001.1	395336	396196	-	blaSHV-190_1	1-861/861	===============	0/0	100.00	99.88	resfinder	KP868753	blaSHV-190	
